2017-11-04 20:11:18,605 | WARN  | FelixStartLevel  | DefaultTypeConverter             | 43 - org.apache.camel.camel-core - 2.16.5 | Overriding type converter from: InstanceMethodTypeConverter: public org.apache.camel.Processor org.apache.activemq.camel.converter.ActiveMQMessageConverter.toProcessor(javax.jms.MessageListener) to: InstanceMethodTypeConverter: public org.apache.camel.Processor org.apache.activemq.camel.converter.ActiveMQMessageConverter.toProcessor(javax.jms.MessageListener)
2017-11-04 20:11:18,797 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | Apache Camel 2.16.5 (CamelContext: camel-1) is starting
2017-11-04 20:11:18,800 | INFO  | FelixStartLevel  | ManagedManagementStrategy        | 43 - org.apache.camel.camel-core - 2.16.5 | JMX is enabled
2017-11-04 20:11:18,955 | INFO  | FelixStartLevel  | DefaultRuntimeEndpointRegistry   | 43 - org.apache.camel.camel-core - 2.16.5 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-04 20:11:19,299 | INFO  | FelixStartLevel  | SaajSoapMessageFactory           | 236 - org.springframework.ws - 2.1.4.RELEASE | Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2017-11-04 20:11:19,962 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2017-11-04 20:11:19,963 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-04 20:11:20,230 | INFO  | FelixStartLevel  | AggregateProcessor               | 43 - org.apache.camel.camel-core - 2.16.5 | Defaulting to MemoryAggregationRepository
2017-11-04 20:11:20,347 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | Route: csv-input-car started and consuming from: Endpoint[file://../../microservices-uns/integration/input?fileName=car.csv]
2017-11-04 20:11:20,349 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | Route: search-car started and consuming from: Endpoint[direct://search-car]
2017-11-04 20:11:20,356 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | Route: csv-input-hotel started and consuming from: Endpoint[file://../../microservices-uns/integration/input?fileName=hotels.csv]
2017-11-04 20:11:20,512 | INFO  | FelixStartLevel  | BlueprintCamelContext            | 43 - org.apache.camel.camel-core - 2.16.5 | Route: spec hotel queue started and consuming from: Endpoint[activemq://handle-hotel-spec]
