2017-11-04 14:34:06,904 | INFO  | .0.1:50942@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:34:06,909 | INFO  | .0.1:50942@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:34:06,998 | INFO  | .0.1:50946@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:34:06,998 | INFO  | .0.1:50946@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:35:50,575 | INFO  | .0.1:51068@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:35:50,576 | INFO  | .0.1:51068@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:44:11,741 | INFO  | .0.1:51694@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:44:11,746 | INFO  | .0.1:51694@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:44:11,842 | INFO  | .0.1:51698@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:44:11,843 | INFO  | .0.1:51698@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:44:14,165 | INFO  | .0.1:51706@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:44:14,165 | INFO  | .0.1:51706@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:44:14,218 | INFO  | .0.1:51708@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:44:14,219 | INFO  | .0.1:51708@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:45:31,282 | INFO  | .0.1:51810@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:45:31,283 | INFO  | .0.1:51810@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 14:46:07,842 | INFO  | .0.1:51864@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 14:46:07,842 | INFO  | .0.1:51864@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 15:57:42,113 | INFO  | .0.1:52286@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 15:57:42,124 | INFO  | .0.1:52286@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 15:57:42,206 | INFO  | .0.1:52290@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 15:57:42,207 | INFO  | .0.1:52290@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 16:14:43,358 | INFO  | .0.1:52814@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 16:14:43,361 | INFO  | .0.1:52814@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 16:14:43,445 | INFO  | .0.1:52816@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 16:14:43,446 | INFO  | .0.1:52816@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 16:14:45,262 | INFO  | .0.1:52818@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 16:14:45,263 | INFO  | .0.1:52818@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 16:14:45,310 | INFO  | .0.1:52820@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 16:14:45,313 | INFO  | .0.1:52820@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 18:23:36,624 | INFO  | .0.1:59674@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 18:23:36,629 | INFO  | .0.1:59674@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 18:23:36,718 | INFO  | .0.1:59676@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 18:23:36,718 | INFO  | .0.1:59676@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 18:23:38,721 | INFO  | .0.1:59682@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 18:23:38,721 | INFO  | .0.1:59682@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 18:23:38,753 | INFO  | .0.1:59684@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 18:23:38,754 | INFO  | .0.1:59684@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:07:27,691 | INFO  | .0.1:58322@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:07:27,696 | INFO  | .0.1:58322@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:07:27,777 | INFO  | .0.1:58324@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:07:27,778 | INFO  | .0.1:58324@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:11:53,252 | INFO  | .0.1:58642@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:11:53,255 | INFO  | .0.1:58642@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:11:53,347 | INFO  | .0.1:58644@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:11:53,347 | INFO  | .0.1:58644@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:11:55,259 | INFO  | .0.1:58652@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:11:55,260 | INFO  | .0.1:58652@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:11:55,302 | INFO  | .0.1:58654@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:11:55,304 | INFO  | .0.1:58654@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:12:31,500 | INFO  | .0.1:58698@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:12:31,503 | INFO  | .0.1:58698@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:34:08,489 | INFO  | .0.1:60398@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:34:08,493 | INFO  | .0.1:60398@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:34:08,632 | INFO  | .0.1:60400@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:34:08,634 | INFO  | .0.1:60400@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:34:10,905 | INFO  | .0.1:60408@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:34:10,906 | INFO  | .0.1:60408@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:34:10,953 | INFO  | .0.1:60410@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:34:10,955 | INFO  | .0.1:60410@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:58:03,656 | INFO  | .0.1:33830@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:58:03,660 | INFO  | .0.1:33830@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:58:03,814 | INFO  | .0.1:33836@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:58:03,817 | INFO  | .0.1:33836@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:58:06,193 | INFO  | .0.1:33840@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:58:06,200 | INFO  | .0.1:33840@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:58:06,255 | INFO  | .0.1:33842@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:58:06,256 | INFO  | .0.1:33842@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:00:19,346 | INFO  | .0.1:34018@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:00:19,350 | INFO  | .0.1:34018@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:00:19,410 | INFO  | .0.1:34020@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:00:19,410 | INFO  | .0.1:34020@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
